dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.161626,4.087251,0.000067,0.006667,0.333333,16.666667,3.143784
0.020000,5.161591,4.087251,0.000102,0.001757,-0.245495,-28.941392,3.143662
0.020000,5.161512,4.087250,0.000181,0.003954,0.109863,17.767868,3.143385
0.020000,5.161380,4.087250,0.000313,0.006594,0.131999,1.106810,3.142923
0.020000,5.161195,4.087250,0.000498,0.009240,0.132296,0.014852,3.142277
0.020000,5.160636,4.087250,0.001057,0.027972,0.936590,40.214676,3.141444
0.020000,5.158143,4.087252,0.003550,0.124638,4.833290,194.835040,3.140424
0.020000,5.155199,4.087257,0.006494,0.147206,1.128412,-185.243914,3.139215
0.020000,5.151798,4.087267,0.009895,0.170058,1.142597,0.709258,3.137815
0.020000,5.147943,4.087285,0.013751,0.192774,1.135838,-0.337945,3.136221
0.020000,5.143632,4.087312,0.018061,0.215533,1.137940,0.105072,3.134432
0.020000,5.138865,4.087351,0.022829,0.238370,1.141851,0.195560,3.132445
0.020000,5.133639,4.087404,0.028054,0.261275,1.145214,0.168125,3.130255
0.020000,5.127955,4.087476,0.033739,0.284235,1.148024,0.140527,3.127860
0.020000,5.121811,4.087568,0.039884,0.307241,1.150281,0.112834,3.125255
0.020000,5.115207,4.087685,0.046489,0.330280,1.151983,0.085115,3.122437
0.020000,5.108141,4.087831,0.053556,0.353343,1.153132,0.057443,3.119402
0.020000,5.100612,4.088011,0.061087,0.376558,1.160763,0.381566,3.116143
0.020000,5.092618,4.088228,0.069084,0.399840,1.164066,0.165154,3.112656
0.020000,5.084159,4.088489,0.077547,0.423170,1.166508,0.122094,3.108934
0.020000,5.075234,4.088798,0.086478,0.446540,1.168522,0.100687,3.104973
0.020000,5.065837,4.089162,0.095882,0.470194,1.182673,0.707532,3.100763
0.020000,5.055970,4.089587,0.105758,0.493789,1.179744,-0.146415,3.096299
0.020000,5.045631,4.090080,0.116108,0.517517,1.186434,0.334509,3.091574
0.020000,5.034819,4.090648,0.126936,0.541368,1.192527,0.304615,3.086578
0.020000,5.023531,4.091300,0.138242,0.565328,1.198019,0.274592,3.081304
0.020000,5.011765,4.092043,0.150032,0.589473,1.207262,0.462170,3.075741
0.020000,4.999519,4.092886,0.162307,0.613776,1.215154,0.394603,3.069880
0.020000,4.986793,4.093840,0.175068,0.638059,1.214109,-0.052275,3.063712
0.020000,4.973581,4.094914,0.188324,0.662775,1.235825,1.085847,3.057223
0.020000,4.959886,4.096119,0.202072,0.687414,1.231930,-0.194759,3.050404
0.020000,4.945704,4.097467,0.216318,0.712293,1.243976,0.602293,3.043242
0.020000,4.931033,4.098970,0.231066,0.737399,1.255291,0.565718,3.035723
0.020000,4.915870,4.100642,0.246320,0.762716,1.265859,0.528435,3.027834
0.020000,4.900215,4.102496,0.262085,0.788230,1.275672,0.490625,3.019561
0.020000,4.884066,4.104547,0.278363,0.813924,1.284721,0.452474,3.010889
0.020000,4.867424,4.106812,0.295159,0.839784,1.293005,0.414172,3.001803
0.020000,4.850284,4.109307,0.312479,0.866020,1.311779,0.938737,2.992284
0.020000,4.832650,4.112049,0.330326,0.892330,1.315496,0.185827,2.982319
0.020000,4.814516,4.115059,0.348708,0.919082,1.337609,1.105646,2.971886
0.020000,4.795886,4.118356,0.367627,0.945977,1.344780,0.358584,2.960969
0.020000,4.776760,4.121961,0.387090,0.973144,1.358326,0.677299,2.949550
0.020000,4.757140,4.125897,0.407102,1.000575,1.371560,0.661662,2.937608
0.020000,4.737024,4.130189,0.427669,1.028395,1.390975,0.970744,2.925124
0.020000,4.716420,4.134861,0.448797,1.056370,1.398752,0.388879,2.912079
0.020000,4.695329,4.139940,0.470491,1.084694,1.416199,0.872357,2.898452
