dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.161000,4.373000,0.000067,0.006667,0.333333,16.666667,3.143784
0.020000,5.161000,4.373000,0.000333,0.020000,0.666667,16.666667,3.143662
0.020000,5.161000,4.373000,0.000933,0.040000,1.000000,16.666667,3.143385
0.020000,5.161000,4.373000,0.001933,0.060000,1.000000,-0.000000,3.142923
0.020000,5.161000,4.373000,0.003333,0.080000,1.000000,0.000000,3.142277
0.020000,5.160679,4.373000,0.005133,0.100000,1.000000,-0.000000,3.141444
0.020000,5.158477,4.373001,0.007333,0.120000,1.000000,0.000000,3.140424
0.020000,5.155879,4.373006,0.009933,0.140000,1.000000,-0.000000,3.139215
0.020000,5.152878,4.373015,0.012933,0.160000,1.000000,0.000000,3.137815
0.020000,5.149477,4.373031,0.016333,0.180000,1.000000,0.000000,3.136221
0.020000,5.145678,4.373055,0.020133,0.200000,1.000000,-0.000000,3.134432
0.020000,5.141479,4.373089,0.024333,0.220000,1.000000,0.000000,3.132445
0.020000,5.136879,4.373136,0.028933,0.240000,1.000000,-0.000000,3.130255
0.020000,5.131879,4.373199,0.033933,0.260000,1.000000,0.000000,3.127860
0.020000,5.126479,4.373280,0.039333,0.280000,1.000000,-0.000000,3.125255
0.020000,5.120680,4.373383,0.045133,0.300000,1.000000,0.000000,3.122437
0.020000,5.114482,4.373511,0.051333,0.320000,1.000000,0.000000,3.119402
0.020000,5.107884,4.373668,0.057933,0.340000,1.000000,0.000000,3.116143
0.020000,5.100886,4.373858,0.064933,0.360000,1.000000,0.000000,3.112656
0.020000,5.093489,4.374086,0.072333,0.380000,1.000000,-0.000000,3.108934
0.020000,5.085695,4.374356,0.080133,0.400000,1.000000,0.000000,3.104973
0.020000,5.077500,4.374674,0.088333,0.420000,1.000000,0.000000,3.100763
0.020000,5.068908,4.375044,0.096933,0.440000,1.000000,0.000000,3.096299
0.020000,5.059918,4.375473,0.105933,0.460000,1.000000,-0.000000,3.091574
0.020000,5.050531,4.375966,0.115333,0.480000,1.000000,0.000000,3.086578
0.020000,5.040748,4.376531,0.125133,0.500000,1.000000,0.000000,3.081304
0.020000,5.030569,4.377173,0.135333,0.520000,1.000000,0.000000,3.075741
0.020000,5.019993,4.377902,0.145933,0.540000,1.000000,0.000000,3.069880
0.020000,5.009025,4.378724,0.156933,0.560000,1.000000,-0.000000,3.063712
