dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.160374,4.658749,0.000067,0.006667,0.333333,16.666667,3.143784
0.020000,5.160409,4.658749,0.000102,0.001757,-0.245495,-28.941392,3.143662
0.020000,5.160488,4.658750,0.000181,0.003954,0.109863,17.767868,3.143385
0.020000,5.160620,4.658750,0.000313,0.006594,0.131999,1.106810,3.142923
0.020000,5.160805,4.658750,0.000498,0.009240,0.132296,0.014852,3.142277
0.020000,5.160721,4.658750,0.000581,0.004178,-0.253108,-19.270219,3.141444
0.020000,5.158811,4.658751,0.002491,0.095481,4.565153,240.913046,3.140424
0.020000,5.156558,4.658755,0.004744,0.112675,0.859696,-185.272836,3.139215
0.020000,5.153957,4.658763,0.007345,0.130038,0.868156,0.423022,3.137815
0.020000,5.151012,4.658777,0.010290,0.147242,0.860199,-0.397882,3.136221
0.020000,5.147724,4.658797,0.013578,0.164414,0.858630,-0.078446,3.134432
0.020000,5.144093,4.658827,0.017210,0.181575,0.858033,-0.029826,3.132445
0.020000,5.140119,4.658868,0.021184,0.198707,0.856596,-0.071867,3.130255
0.020000,5.135803,4.658922,0.025500,0.215793,0.854307,-0.114466,3.127860
0.020000,5.131148,4.658992,0.030156,0.232816,0.851155,-0.157561,3.125255
0.020000,5.126153,4.659080,0.035151,0.249759,0.847134,-0.201086,3.122437
0.020000,5.120822,4.659191,0.040483,0.266604,0.842234,-0.244970,3.119402
0.020000,5.115155,4.659326,0.046152,0.283438,0.841739,-0.024759,3.116143
0.020000,5.109153,4.659489,0.052156,0.300188,0.837465,-0.213692,3.112656
0.020000,5.102820,4.659684,0.058492,0.316828,0.832030,-0.271784,3.108934
0.020000,5.096157,4.659915,0.065159,0.333343,0.825748,-0.314063,3.104973
0.020000,5.089164,4.660186,0.072157,0.349902,0.827947,0.109909,3.100763
0.020000,5.081846,4.660501,0.079482,0.366239,0.816823,-0.556186,3.096299
0.020000,5.074205,4.660865,0.087132,0.382484,0.812270,-0.227646,3.091574
0.020000,5.066244,4.661284,0.095104,0.398617,0.806636,-0.281710,3.086578
0.020000,5.057965,4.661762,0.103396,0.414615,0.799906,-0.336490,3.081304
0.020000,5.049372,4.662304,0.112007,0.430520,0.795242,-0.233213,3.075741
0.020000,5.040467,4.662918,0.120933,0.446297,0.788861,-0.319028,3.069880
0.020000,5.031257,4.663608,0.130169,0.461803,0.775287,-0.678683,3.063712
0.020000,5.021741,4.664381,0.139716,0.477351,0.777437,0.107495,3.057223
0.020000,5.011928,4.665245,0.149567,0.492558,0.760309,-0.856436,3.050404
0.020000,5.001821,4.666205,0.159720,0.507636,0.753902,-0.320325,3.043242
0.020000,4.991424,4.667271,0.170171,0.522558,0.746120,-0.389112,3.035723
0.020000,4.980743,4.668448,0.180917,0.537297,0.736956,-0.458184,3.027834
0.020000,4.969783,4.669746,0.191953,0.551825,0.726416,-0.527008,3.019561
0.020000,4.958551,4.671173,0.203275,0.566116,0.714516,-0.594979,3.010889
0.020000,4.947054,4.672737,0.214878,0.580142,0.701288,-0.661421,3.001803
0.020000,4.935297,4.674448,0.226759,0.594031,0.694470,-0.340912,2.992284
0.020000,4.923291,4.676315,0.238910,0.607561,0.676502,-0.898407,2.982319
0.020000,4.911039,4.678349,0.251330,0.620968,0.670335,-0.308334,2.971886
0.020000,4.898552,4.680558,0.264010,0.634034,0.653292,-0.852131,2.960969
0.020000,4.885839,4.682955,0.276947,0.646833,0.639972,-0.665993,2.949550
0.020000,4.872910,4.685549,0.290134,0.659351,0.625920,-0.702606,2.937608
0.020000,4.859772,4.688351,0.303567,0.671661,0.615501,-0.520971,2.925124
0.020000,4.846439,4.691375,0.317239,0.683606,0.597214,-0.914349,2.912079
0.020000,4.832919,4.694630,0.331145,0.695310,0.585202,-0.600613,2.898452
0.020000,4.819225,4.698130,0.345279,0.706696,0.569338,-0.793183,2.884225
0.020000,4.805369,4.701887,0.359636,0.717842,0.557265,-0.603632,2.869377
0.020000,4.791361,4.705914,0.374211,0.728731,0.544444,-0.641060,2.853890
0.020000,4.777216,4.710223,0.388998,0.739356,0.531245,-0.659971,2.837746
0.020000,4.762994,4.714813,0.403942,0.747203,0.392369,-6.943807,2.820987
0.020000,4.748801,4.719662,0.418941,0.749943,0.137025,-12.767162,2.803719
0.020000,4.734738,4.724743,0.433894,0.747643,-0.115005,-12.601506,2.786059
0.020000,4.720853,4.730040,0.448754,0.743035,-0.230442,-5.771863,2.768072
0.020000,4.707150,4.735555,0.463525,0.738542,-0.224633,0.290430,2.749774
0.020000,4.693630,4.741288,0.478211,0.734274,-0.213398,0.561765,2.731178
0.020000,4.680293,4.747242,0.492816,0.730288,-0.199316,0.704118,2.712300
0.020000,4.667139,4.753415,0.507347,0.726529,-0.187951,0.568260,2.693160
0.020000,4.654169,4.759811,0.521809,0.723076,-0.172621,0.766462,2.673778
0.020000,4.641381,4.766429,0.536208,0.719958,-0.155901,0.836020,2.654179
0.020000,4.628774,4.773272,0.550552,0.717202,-0.137823,0.903919,2.634387
0.020000,4.616347,4.780341,0.564848,0.714833,-0.118449,0.968664,2.614428
0.020000,4.604098,4.787637,0.579106,0.712875,-0.097874,1.028748,2.594333
0.020000,4.592024,4.795162,0.593333,0.711351,-0.076220,1.082701,2.574132
0.020000,4.580123,4.802918,0.607538,0.710278,-0.053637,1.129146,2.553855
0.020000,4.568391,4.810908,0.621732,0.709688,-0.029492,1.207282,2.533537
0.020000,4.556827,4.819133,0.635924,0.709565,-0.006180,1.165579,2.513209
0.020000,4.545426,4.827596,0.650122,0.709920,0.017766,1.197311,2.492907
0.020000,4.534186,4.836298,0.664337,0.710762,0.042096,1.216480,2.472665
0.020000,4.523103,4.845242,0.678579,0.712109,0.067334,1.261927,2.452515
0.020000,4.512174,4.854431,0.692858,0.713911,0.090137,1.140158,2.432493
0.020000,4.501396,4.863865,0.707181,0.716181,0.113481,1.167192,2.412629
0.020000,4.490767,4.873548,0.721560,0.718916,0.136756,1.163746,2.392956
0.020000,4.480283,4.883480,0.736001,0.722065,0.157443,1.034342,2.373504
0.020000,4.469943,4.893663,0.750513,0.725632,0.178339,1.044785,2.354302
0.020000,4.459743,4.904098,0.765105,0.729579,0.197357,0.950924,2.335375
0.020000,4.449682,4.914785,0.779783,0.733880,0.215071,0.885683,2.316750
0.020000,4.439758,4.925724,0.794553,0.738512,0.231566,0.824742,2.298449
0.020000,4.429969,4.936916,0.809422,0.743435,0.246184,0.730912,2.280493
0.020000,4.420314,4.948359,0.824394,0.748626,0.259532,0.667413,2.262900
0.020000,4.410791,4.960053,0.839475,0.754050,0.271187,0.582750,2.245686
0.020000,4.401398,4.971995,0.854669,0.759675,0.281253,0.503301,2.228866
0.020000,4.392135,4.984185,0.869978,0.765474,0.289954,0.435038,2.212452
0.020000,4.383001,4.996618,0.885406,0.771415,0.297067,0.355670,2.196453
0.020000,4.373994,5.009293,0.900956,0.777470,0.302747,0.283977,2.180879
0.020000,4.365113,5.022206,0.916628,0.783619,0.307457,0.235500,2.165735
0.020000,4.356356,5.035354,0.932425,0.789822,0.310118,0.133063,2.151025
0.020000,4.347724,5.048732,0.948346,0.796077,0.312767,0.132436,2.136752
0.020000,4.339214,5.062336,0.964393,0.802345,0.313422,0.032735,2.122919
0.020000,4.330824,5.076163,0.980565,0.808616,0.313511,0.004488,2.109524
0.020000,4.322554,5.090206,0.996863,0.814877,0.313090,-0.021088,2.096567
0.020000,4.314402,5.104462,1.013285,0.821096,0.310932,-0.107873,2.084046
0.020000,4.306366,5.118925,1.029830,0.827279,0.309149,-0.089162,2.071958
0.020000,4.298444,5.133590,1.046499,0.833410,0.306549,-0.130002,2.060298
0.020000,4.290634,5.148452,1.063288,0.839465,0.302764,-0.189256,2.049062
0.020000,4.282934,5.163506,1.080197,0.845451,0.299309,-0.172714,2.038246
0.020000,4.275341,5.178746,1.097224,0.851362,0.295544,-0.188293,2.027843
0.020000,4.267853,5.194169,1.114368,0.857187,0.291232,-0.215591,2.017847
0.020000,4.260467,5.209767,1.131626,0.862909,0.286112,-0.255972,2.008252
0.020000,4.253181,5.225536,1.148997,0.868549,0.281996,-0.205799,1.999052
0.020000,4.245992,5.241471,1.166479,0.874095,0.277273,-0.236169,1.990240
0.020000,4.238897,5.257567,1.184070,0.879543,0.272427,-0.242280,1.981809
0.020000,4.231892,5.273820,1.201768,0.884894,0.267562,-0.243286,1.973753
0.020000,4.224974,5.290224,1.219570,0.890141,0.262346,-0.260764,1.966064
0.020000,4.218140,5.306774,1.237476,0.895299,0.257896,-0.222528,1.958736
0.020000,4.211387,5.323467,1.255484,0.900364,0.253237,-0.232917,1.951762
0.020000,4.204711,5.340298,1.273590,0.905336,0.248612,-0.231249,1.945137
0.020000,4.198108,5.357263,1.291795,0.910218,0.244107,-0.225251,1.938853
0.020000,4.191575,5.374357,1.310095,0.915013,0.239740,-0.218363,1.932905
0.020000,4.185108,5.391578,1.328490,0.919724,0.235526,-0.210721,1.927286
0.020000,4.178702,5.408919,1.346977,0.924353,0.231477,-0.202442,1.921991
0.020000,4.172355,5.426380,1.365555,0.928905,0.227604,-0.193633,1.917015
0.020000,4.166062,5.443955,1.384222,0.933384,0.223917,-0.184385,1.912353
0.020000,4.159818,5.461641,1.402978,0.937792,0.220421,-0.174777,1.907999
0.020000,4.153621,5.479435,1.421821,0.942134,0.217123,-0.164878,1.903949
0.020000,4.147465,5.497334,1.440749,0.946415,0.214029,-0.154745,1.900198
0.020000,4.141346,5.515336,1.459762,0.950638,0.211140,-0.144428,1.896743
0.020000,4.135261,5.533436,1.478858,0.954807,0.208461,-0.133968,1.893580
0.020000,4.129204,5.551633,1.498037,0.958927,0.205993,-0.123398,1.890705
0.020000,4.123171,5.569924,1.517297,0.963002,0.203738,-0.112746,1.888116
0.020000,4.117158,5.588306,1.536637,0.967036,0.201697,-0.102034,1.885809
0.020000,4.111160,5.606777,1.556058,0.971033,0.199871,-0.091279,1.883781
0.020000,4.105172,5.625335,1.575558,0.974998,0.198262,-0.080495,1.882031
0.020000,4.099191,5.643978,1.595137,0.978936,0.196868,-0.069692,1.880557
0.020000,4.093211,5.662703,1.614794,0.982849,0.195690,-0.058875,1.879357
0.020000,4.087227,5.681509,1.634529,0.986744,0.194729,-0.048049,1.878429
0.020000,4.081234,5.700393,1.654341,0.990624,0.193985,-0.037218,1.877772
0.020000,4.075228,5.719355,1.674231,0.994493,0.193457,-0.026383,1.877387
0.020000,4.069203,5.738391,1.694198,0.998356,0.193146,-0.015542,1.877272
0.020000,4.063155,5.757501,1.714242,1.002217,0.193052,-0.004697,1.877427
0.020000,4.057077,5.776683,1.734364,1.006080,0.193175,0.006153,1.877852
0.020000,4.050966,5.795935,1.754563,1.009951,0.193516,0.017009,1.878549
0.020000,4.044815,5.815257,1.774840,1.013832,0.194073,0.027870,1.879517
0.020000,4.038618,5.834645,1.795194,1.017729,0.194848,0.038736,1.880758
0.020000,4.032372,5.854100,1.815627,1.021646,0.195840,0.049604,1.882273
0.020000,4.026069,5.873619,1.836139,1.025587,0.197049,0.060470,1.884064
0.020000,4.019703,5.893202,1.856730,1.029556,0.198476,0.071328,1.886132
0.020000,4.013270,5.912846,1.877401,1.033559,0.200119,0.082171,1.888481
0.020000,4.006762,5.932551,1.898153,1.037598,0.201979,0.092986,1.891113
0.020000,4.000174,5.952316,1.918987,1.041679,0.204054,0.103761,1.894030
