dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.411151,5.521181,0.000067,0.006667,0.333333,16.666667,6.283029
0.020000,1.411140,5.521181,0.000077,0.000518,-0.307440,-32.038642,6.283065
0.020000,1.411117,5.521181,0.000100,0.001164,0.032305,16.987223,6.283147
0.020000,1.411795,5.521181,0.000778,0.033869,1.635273,80.148408,0.000097
0.020000,1.413141,5.521181,0.002124,0.067297,1.671402,1.806460,0.000286
0.020000,1.414871,5.521182,0.003854,0.086539,0.962083,-35.465958,0.000528
0.020000,1.416987,5.521183,0.005970,0.105791,0.962601,0.025899,0.000823
0.020000,1.419488,5.521186,0.008471,0.125056,0.963234,0.031648,0.001169
0.020000,1.422375,5.521190,0.011358,0.144335,0.963982,0.037415,0.001565
0.020000,1.425648,5.521195,0.014631,0.163632,0.964846,0.043173,0.002011
0.020000,1.429307,5.521204,0.018290,0.182949,0.965824,0.048930,0.002505
0.020000,1.433352,5.521215,0.022335,0.202287,0.966918,0.054702,0.003044
0.020000,1.437785,5.521230,0.026768,0.221650,0.968127,0.060430,0.003629
0.020000,1.442606,5.521249,0.031589,0.241039,0.969452,0.066243,0.004256
0.020000,1.447815,5.521273,0.036798,0.260457,0.970891,0.071962,0.004924
0.020000,1.453413,5.521302,0.042396,0.279906,0.972447,0.077770,0.005631
0.020000,1.459401,5.521338,0.048384,0.299388,0.974116,0.083481,0.006373
0.020000,1.465779,5.521381,0.054762,0.318906,0.975902,0.089282,0.007150
0.020000,1.472548,5.521432,0.061532,0.338462,0.977803,0.095044,0.007957
0.020000,1.479709,5.521492,0.068693,0.358058,0.979818,0.100782,0.008793
0.020000,1.487262,5.521562,0.076247,0.377697,0.981950,0.106564,0.009654
0.020000,1.495210,5.521642,0.084194,0.397381,0.984195,0.112271,0.010537
0.020000,1.503551,5.521734,0.092537,0.417112,0.986557,0.118087,0.011439
0.020000,1.512289,5.521838,0.101274,0.436893,0.989033,0.123811,0.012357
0.020000,1.521422,5.521955,0.110409,0.456726,0.991623,0.129478,0.013286
0.020000,1.530954,5.522086,0.119941,0.476612,0.994329,0.135344,0.014223
0.020000,1.540884,5.522232,0.129872,0.496555,0.997149,0.140987,0.015164
0.020000,1.551214,5.522394,0.140203,0.516557,1.000084,0.146742,0.016105
0.020000,1.561944,5.522572,0.150936,0.536619,1.003133,0.152451,0.017041
0.020000,1.573078,5.522767,0.162071,0.556745,1.006296,0.158152,0.017969
0.020000,1.584614,5.522979,0.173609,0.576937,1.009575,0.163942,0.018883
0.020000,1.596556,5.523210,0.185553,0.597196,1.012965,0.169522,0.019780
0.020000,1.608904,5.523460,0.197904,0.617526,1.016471,0.175275,0.020653
0.020000,1.621660,5.523729,0.210662,0.637927,1.020092,0.181068,0.021498
0.020000,1.634825,5.524017,0.223831,0.658404,1.023824,0.186596,0.022309
0.020000,1.648400,5.524326,0.237410,0.678957,1.027672,0.192376,0.023082
0.020000,1.662388,5.524654,0.251401,0.699590,1.031634,0.198138,0.023811
