dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.411106,5.235431,0.000067,0.006667,0.333333,16.666667,6.283029
0.020000,1.411106,5.235431,0.000333,0.020000,0.666667,16.666667,6.283065
0.020000,1.411106,5.235431,0.000933,0.040000,1.000000,16.666667,6.283147
0.020000,1.411822,5.235431,0.001933,0.060000,1.000000,-0.000000,0.000097
0.020000,1.413222,5.235431,0.003333,0.080000,1.000000,0.000000,0.000286
0.020000,1.415022,5.235432,0.005133,0.100000,1.000000,-0.000000,0.000528
0.020000,1.417222,5.235433,0.007333,0.120000,1.000000,0.000000,0.000823
0.020000,1.419822,5.235436,0.009933,0.140000,1.000000,-0.000000,0.001169
0.020000,1.422822,5.235440,0.012933,0.160000,1.000000,0.000000,0.001565
0.020000,1.426222,5.235446,0.016333,0.180000,1.000000,0.000000,0.002011
0.020000,1.430022,5.235455,0.020133,0.200000,1.000000,-0.000000,0.002505
0.020000,1.434222,5.235466,0.024333,0.220000,1.000000,0.000000,0.003044
0.020000,1.438822,5.235482,0.028933,0.240000,1.000000,-0.000000,0.003629
0.020000,1.443822,5.235501,0.033933,0.260000,1.000000,0.000000,0.004256
0.020000,1.449222,5.235526,0.039333,0.280000,1.000000,-0.000000,0.004924
0.020000,1.455022,5.235557,0.045133,0.300000,1.000000,0.000000,0.005631
0.020000,1.461222,5.235594,0.051333,0.320000,1.000000,0.000000,0.006373
0.020000,1.467822,5.235639,0.057933,0.340000,1.000000,0.000000,0.007150
0.020000,1.474822,5.235691,0.064933,0.360000,1.000000,0.000000,0.007957
0.020000,1.482221,5.235753,0.072333,0.380000,1.000000,-0.000000,0.008793
0.020000,1.490021,5.235825,0.080133,0.400000,1.000000,0.000000,0.009654
0.020000,1.498221,5.235908,0.088333,0.420000,1.000000,0.000000,0.010537
0.020000,1.506820,5.236003,0.096933,0.440000,1.000000,0.000000,0.011439
0.020000,1.515819,5.236110,0.105933,0.460000,1.000000,-0.000000,0.012357
0.020000,1.525219,5.236230,0.115333,0.480000,1.000000,0.000000,0.013286
0.020000,1.535018,5.236365,0.125133,0.500000,1.000000,0.000000,0.014223
0.020000,1.545217,5.236515,0.135333,0.520000,1.000000,0.000000,0.015164
0.020000,1.555815,5.236681,0.145933,0.540000,1.000000,0.000000,0.016105
0.020000,1.566814,5.236863,0.156933,0.560000,1.000000,-0.000000,0.017041
0.020000,1.578212,5.237063,0.168333,0.580000,1.000000,0.000000,0.017969
0.020000,1.590010,5.237280,0.180133,0.600000,1.000000,0.000000,0.018883
0.020000,1.602208,5.237516,0.192333,0.620000,1.000000,0.000000,0.019780
0.020000,1.614805,5.237771,0.204933,0.640000,1.000000,0.000000,0.020653
0.020000,1.627802,5.238045,0.217933,0.660000,1.000000,0.000000,0.021498
0.020000,1.641199,5.238338,0.231333,0.680000,1.000000,0.000000,0.022309
0.020000,1.654996,5.238652,0.245133,0.700000,1.000000,0.000000,0.023082
0.020000,1.669192,5.238985,0.259333,0.720000,1.000000,0.000000,0.023811
0.020000,1.683787,5.239337,0.273933,0.740000,1.000000,0.000000,0.024489
0.020000,1.698783,5.239709,0.288933,0.760000,1.000000,-0.000000,0.025112
0.020000,1.714178,5.240100,0.304333,0.780000,1.000000,0.000000,0.025673
0.020000,1.729973,5.240510,0.320133,0.800000,1.000000,0.000000,0.026166
0.020000,1.746167,5.240937,0.336333,0.820000,1.000000,0.000000,0.026584
0.020000,1.762761,5.241382,0.352933,0.840000,1.000000,0.000000,0.026922
0.020000,1.779755,5.241841,0.369933,0.860000,1.000000,0.000000,0.027172
0.020000,1.797148,5.242316,0.387333,0.880000,1.000000,0.000000,0.027327
0.020000,1.814942,5.242803,0.405133,0.900000,1.000000,0.000000,0.027381
0.020000,1.833135,5.243301,0.423333,0.920000,1.000000,-0.000000,0.027327
0.020000,1.851728,5.243807,0.441933,0.940000,1.000000,0.000000,0.027157
0.020000,1.870721,5.244321,0.460933,0.960000,1.000000,0.000000,0.026863
0.020000,1.890114,5.244838,0.480333,0.980000,1.000000,0.000000,0.026438
0.020000,1.909841,5.245354,0.500067,0.993333,0.666667,-16.666667,0.025877
0.020000,1.929767,5.245863,0.520000,1.000000,0.333333,-16.666667,0.025177
0.020000,1.949761,5.246359,0.540000,1.000000,0.000000,-16.666667,0.024342
0.020000,1.969756,5.246836,0.560000,1.000000,0.000000,0.000000,0.023372
0.020000,1.989750,5.247293,0.580000,1.000000,0.000000,0.000000,0.022267
0.020000,2.009746,5.247726,0.600000,1.000000,0.000000,0.000000,0.021029
0.020000,2.029742,5.248133,0.620000,1.000000,0.000000,0.000000,0.019657
0.020000,2.049738,5.248511,0.640000,1.000000,0.000000,0.000000,0.018150
0.020000,2.069735,5.248858,0.660000,1.000000,0.000000,0.000000,0.016509
0.020000,2.089733,5.249170,0.680000,1.000000,0.000000,0.000000,0.014733
0.020000,2.109731,5.249446,0.700000,1.000000,0.000000,0.000000,0.012824
0.020000,2.129729,5.249682,0.720000,1.000000,0.000000,0.000000,0.010780
0.020000,2.149728,5.249877,0.740000,1.000000,0.000000,0.000000,0.008601
0.020000,2.169728,5.250026,0.760000,1.000000,0.000000,0.000000,0.006288
0.020000,2.189727,5.250127,0.780000,1.000000,0.000000,0.000000,0.003841
0.020000,2.209727,5.250178,0.800000,1.000000,0.000000,0.000000,0.001260
0.020000,2.229727,5.250177,0.820000,1.000000,0.000000,0.000000,6.281729
0.020000,2.249727,5.250119,0.840000,1.000000,0.000000,0.000000,6.278879
0.020000,2.269727,5.250004,0.860000,1.000000,0.000000,0.000000,6.275895
0.020000,2.289726,5.249827,0.880000,1.000000,0.000000,0.000000,6.272777
0.020000,2.309725,5.249586,0.900000,1.000000,0.000000,0.000000,6.269525
0.020000,2.329722,5.249279,0.920000,1.000000,0.000000,0.000000,6.266140
0.020000,2.349719,5.248904,0.940000,1.000000,0.000000,0.000000,6.262620
0.020000,2.369714,5.248456,0.960000,1.000000,0.000000,0.000000,6.258968
0.020000,2.389707,5.247934,0.980000,1.000000,0.000000,0.000000,6.255182
0.020000,2.409698,5.247335,1.000000,1.000000,0.000000,0.000000,6.251263
0.020000,2.429686,5.246657,1.020000,1.000000,0.000000,0.000000,6.247212
0.020000,2.449672,5.245896,1.040000,1.000000,0.000000,0.000000,6.243029
0.020000,2.469654,5.245050,1.060000,1.000000,0.000000,0.000000,6.238715
0.020000,2.489632,5.244117,1.080000,1.000000,0.000000,0.000000,6.234269
0.020000,2.509606,5.243093,1.100000,1.000000,0.000000,0.000000,6.229692
0.020000,2.529575,5.241977,1.120000,1.000000,0.000000,0.000000,6.224986
0.020000,2.549538,5.240766,1.140000,1.000000,0.000000,0.000000,6.220150
0.020000,2.569495,5.239456,1.160000,1.000000,0.000000,0.000000,6.215185
0.020000,2.589445,5.238047,1.180000,1.000000,0.000000,0.000000,6.210092
0.020000,2.609388,5.236534,1.200000,1.000000,0.000000,0.000000,6.204873
0.020000,2.628328,5.235000,1.220000,1.000000,0.000000,0.000000,6.200806
0.020000,2.646497,5.233386,1.240000,1.000000,0.000000,0.000000,6.189372
0.020000,2.666398,5.231399,1.260000,1.000000,0.000000,0.000000,6.178023
0.020000,2.686275,5.229188,1.280000,1.000000,0.000000,0.000000,6.166766
0.020000,2.706126,5.226754,1.300000,1.000000,0.000000,0.000000,6.155608
0.020000,2.725949,5.224099,1.320000,1.000000,0.000000,0.000000,6.144557
0.020000,2.745742,5.221227,1.340000,1.000000,0.000000,0.000000,6.133622
