dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.411062,4.949681,0.000067,0.006667,0.333333,16.666667,6.283029
0.020000,1.411072,4.949681,0.000077,0.000518,-0.307440,-32.038642,6.283065
0.020000,1.411095,4.949681,0.000100,0.001164,0.032305,16.987223,6.283147
0.020000,1.411850,4.949681,0.000855,0.037742,1.828885,89.829023,0.000097
0.020000,1.413304,4.949681,0.002309,0.072703,1.748042,-4.042189,0.000286
0.020000,1.415173,4.949682,0.004178,0.093461,1.037917,-35.506240,0.000528
0.020000,1.417457,4.949683,0.006463,0.114209,1.037399,-0.025895,0.000823
0.020000,1.420156,4.949686,0.009161,0.134944,1.036766,-0.031660,0.001169
0.020000,1.423270,4.949690,0.012275,0.155664,1.036018,-0.037409,0.001565
0.020000,1.426797,4.949697,0.015802,0.176368,1.035154,-0.043169,0.002011
0.020000,1.430738,4.949705,0.019743,0.197051,1.034176,-0.048933,0.002505
0.020000,1.435092,4.949718,0.024097,0.217713,1.033082,-0.054683,0.003044
0.020000,1.439859,4.949733,0.028864,0.238350,1.031872,-0.060482,0.003629
0.020000,1.445038,4.949754,0.034044,0.258961,1.030548,-0.066191,0.004256
0.020000,1.450629,4.949780,0.039634,0.279543,1.029108,-0.072003,0.004924
0.020000,1.456631,4.949811,0.045636,0.300094,1.027554,-0.077720,0.005631
0.020000,1.463043,4.949850,0.052049,0.320612,1.025883,-0.083539,0.006373
0.020000,1.469865,4.949896,0.058870,0.341094,1.024098,-0.089261,0.007150
0.020000,1.477095,4.949950,0.066101,0.361538,1.022197,-0.095021,0.007957
0.020000,1.484734,4.950014,0.073740,0.381942,1.020181,-0.100805,0.008793
0.020000,1.492780,4.950089,0.081786,0.402303,1.018051,-0.106534,0.009654
0.020000,1.501232,4.950174,0.090238,0.422619,1.015804,-0.112338,0.010537
0.020000,1.510089,4.950271,0.099096,0.442888,1.013444,-0.118020,0.011439
0.020000,1.519350,4.950382,0.108358,0.463107,1.010968,-0.123789,0.012357
0.020000,1.529015,4.950506,0.118024,0.483274,1.008376,-0.129611,0.013286
0.020000,1.539082,4.950644,0.128092,0.503388,1.005671,-0.135211,0.014223
0.020000,1.549550,4.950798,0.138561,0.523445,1.002851,-0.141035,0.015164
0.020000,1.560417,4.950968,0.149429,0.543443,0.999916,-0.146730,0.016105
0.020000,1.571683,4.951155,0.160697,0.563381,0.996867,-0.152461,0.017041
0.020000,1.583346,4.951359,0.172362,0.583255,0.993703,-0.158190,0.017969
