dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.159959,4.107218,0.000067,0.006667,0.333333,16.666667,3.143774
0.020000,5.159990,4.107218,0.000098,0.001569,-0.254872,-29.410287,3.143665
0.020000,5.160061,4.107218,0.000169,0.003532,0.098125,17.649856,3.143417
0.020000,5.160179,4.107219,0.000286,0.005889,0.117873,0.987423,3.143005
0.020000,5.160344,4.107219,0.000451,0.008251,0.118097,0.011209,3.142428
0.020000,5.160556,4.107219,0.000664,0.010619,0.118411,0.015699,3.141684
0.020000,5.158837,4.107220,0.002383,0.085964,3.767212,182.440040,3.140774
0.020000,5.156546,4.107223,0.004674,0.114562,1.429900,-116.865608,3.139696
0.020000,5.153902,4.107229,0.007318,0.132204,0.882141,-27.387931,3.138448
0.020000,5.150908,4.107241,0.010312,0.149663,0.872946,-0.459744,3.137029
0.020000,5.147563,4.107259,0.013657,0.167281,0.880859,0.395644,3.135436
0.020000,5.143868,4.107285,0.017352,0.184757,0.873808,-0.352568,3.133667
0.020000,5.139824,4.107321,0.021396,0.202195,0.871904,-0.095223,3.131721
0.020000,5.135432,4.107369,0.025789,0.219613,0.870921,-0.049119,3.129595
0.020000,5.130693,4.107431,0.030529,0.236998,0.869223,-0.084891,3.127285
0.020000,5.125607,4.107510,0.035615,0.254334,0.866803,-0.121018,3.124788
0.020000,5.120175,4.107609,0.041047,0.271607,0.863654,-0.157444,3.122102
0.020000,5.114400,4.107730,0.046823,0.288802,0.859772,-0.194111,3.119222
0.020000,5.108281,4.107876,0.052945,0.306066,0.863173,0.170061,3.116144
0.020000,5.101821,4.108051,0.059408,0.323139,0.853648,-0.476259,3.112864
0.020000,5.095020,4.108258,0.066211,0.340175,0.851796,-0.092590,3.109377
0.020000,5.087881,4.108502,0.073354,0.357161,0.849297,-0.124932,3.105679
0.020000,5.080405,4.108785,0.080836,0.374091,0.846531,-0.138335,3.101764
0.020000,5.072594,4.109112,0.088653,0.390870,0.838936,-0.379751,3.097627
0.020000,5.064451,4.109488,0.096805,0.407598,0.836428,-0.125385,3.093262
0.020000,5.055977,4.109918,0.105291,0.424259,0.833029,-0.169972,3.088662
0.020000,5.047173,4.110405,0.114107,0.440834,0.828726,-0.215125,3.083821
0.020000,5.038044,4.110957,0.123253,0.457304,0.823512,-0.260702,3.078731
0.020000,5.028591,4.111577,0.132726,0.473651,0.817381,-0.306545,3.073385
0.020000,5.018819,4.112272,0.142524,0.489858,0.810332,-0.352478,3.067776
0.020000,5.008730,4.113048,0.152642,0.505924,0.803305,-0.351345,3.061895
0.020000,4.998325,4.113911,0.163082,0.522017,0.804664,0.067978,3.055733
0.020000,4.987612,4.114868,0.173838,0.537785,0.788360,-0.815225,3.049282
0.020000,4.976592,4.115926,0.184909,0.553565,0.789009,0.032476,3.042531
0.020000,4.965269,4.117091,0.196292,0.569144,0.778957,-0.502638,3.035471
0.020000,4.953648,4.118372,0.207983,0.584555,0.770556,-0.420024,3.028091
0.020000,4.941734,4.119777,0.219980,0.599827,0.763606,-0.347510,3.020380
0.020000,4.929532,4.121313,0.232279,0.614938,0.755550,-0.402810,3.012327
0.020000,4.917046,4.122989,0.244876,0.629866,0.746411,-0.456955,3.003920
0.020000,4.904284,4.124814,0.257768,0.644609,0.737136,-0.463704,2.995146
0.020000,4.891248,4.126798,0.270954,0.659273,0.733181,-0.197790,2.985993
0.020000,4.877950,4.128949,0.284425,0.673572,0.714959,-0.911088,2.976449
0.020000,4.864391,4.131278,0.298183,0.687876,0.715207,0.012394,2.966498
0.020000,4.850581,4.133794,0.312219,0.701841,0.698258,-0.847454,2.956128
0.020000,4.836529,4.136509,0.326532,0.715641,0.689984,-0.413676,2.945325
0.020000,4.822240,4.139434,0.341117,0.729254,0.680650,-0.466689,2.934075
0.020000,4.807723,4.142579,0.355970,0.742661,0.670337,-0.515669,2.922362
0.020000,4.792988,4.145956,0.371087,0.755844,0.659181,-0.557795,2.910174
0.020000,4.778044,4.149577,0.386464,0.768843,0.649936,-0.462237,2.897496
0.020000,4.762899,4.153455,0.402098,0.781671,0.641389,-0.427375,2.884314
0.020000,4.747616,4.157587,0.417930,0.791598,0.496387,-7.250104,2.870662
0.020000,4.732306,4.161955,0.433851,0.796058,0.222989,-13.669893,2.856624
0.020000,4.717075,4.166535,0.449755,0.795221,-0.041866,-13.242767,2.842291
0.020000,4.701978,4.171314,0.465590,0.791754,-0.173356,-6.574479,2.827715
0.020000,4.687018,4.176293,0.481357,0.788341,-0.170638,0.135880,2.812901
0.020000,4.672197,4.181472,0.497057,0.785020,-0.166072,0.228338,2.797855
0.020000,4.657516,4.186854,0.512694,0.781802,-0.160867,0.260206,2.782583
0.020000,4.642977,4.192438,0.528268,0.778703,-0.154986,0.294093,2.767095
0.020000,4.628583,4.198226,0.543782,0.775735,-0.148392,0.329684,2.751400
