dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.465645,2.827477,0.000067,0.006667,0.333333,16.666667,6.280777
0.020000,2.465587,2.827477,0.000125,0.002908,-0.187929,-26.063135,6.280981
0.020000,2.465456,2.827477,0.000256,0.006544,0.181781,18.485495,6.281439
0.020000,2.465238,2.827477,0.000474,0.010908,0.218201,1.821035,6.282202
0.020000,2.465045,2.827477,0.000667,0.009652,-0.062785,-14.049318,0.000086
0.020000,2.466452,2.827479,0.002074,0.070365,3.035656,154.922050,0.001462
0.020000,2.468171,2.827483,0.003793,0.085951,0.779279,-112.818857,0.003145
0.020000,2.470202,2.827491,0.005824,0.101534,0.779154,-0.006234,0.005136
0.020000,2.472544,2.827506,0.008166,0.117110,0.778787,-0.018348,0.007438
0.020000,2.475197,2.827529,0.010819,0.132668,0.777909,-0.043914,0.010051
0.020000,2.478161,2.827563,0.013783,0.148198,0.776535,-0.068675,0.012978
0.020000,2.481434,2.827611,0.017057,0.163692,0.774686,-0.092461,0.016219
0.020000,2.485017,2.827675,0.020640,0.179143,0.772562,-0.106182,0.019777
0.020000,2.488908,2.827760,0.024532,0.194619,0.773775,0.060618,0.023655
0.020000,2.493107,2.827868,0.028733,0.210011,0.769587,-0.209393,0.027853
0.020000,2.497613,2.828004,0.033240,0.225385,0.768701,-0.044319,0.032375
0.020000,2.502424,2.828171,0.038055,0.240736,0.767547,-0.057675,0.037223
0.020000,2.507542,2.828375,0.043176,0.256055,0.765986,-0.078080,0.042398
0.020000,2.512963,2.828620,0.048603,0.271336,0.764058,-0.096383,0.047905
0.020000,2.518687,2.828911,0.054334,0.286573,0.761811,-0.112344,0.053744
0.020000,2.524713,2.829254,0.060370,0.301790,0.760879,-0.046602,0.059917
0.020000,2.531040,2.829654,0.066710,0.316972,0.759090,-0.089443,0.066428
0.020000,2.537666,2.830118,0.073352,0.332141,0.758441,-0.032467,0.073278
0.020000,2.544591,2.830651,0.080298,0.347267,0.756315,-0.106273,0.080468
0.020000,2.551813,2.831261,0.087545,0.362378,0.755563,-0.037614,0.088001
