dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000073,0.007315,0.365749,18.287461,0.000000
0.020000,0.000000,0.000000,0.000366,0.021945,0.731498,18.287461,0.000000
0.020000,0.000024,0.000000,0.001024,0.043890,1.097248,18.287461,0.000000
0.020000,0.001194,0.000000,0.002194,0.073150,1.462997,18.287461,0.000000
0.020000,0.002950,0.000000,0.003950,0.102410,1.462997,0.000000,0.000000
0.020000,0.005291,0.000000,0.006291,0.131670,1.462997,0.000000,0.000000
0.020000,0.008217,0.000000,0.009217,0.160930,1.462997,-0.000000,0.000000
0.020000,0.011728,0.000000,0.012728,0.190190,1.462997,0.000000,0.000000
0.020000,0.015824,0.000000,0.016824,0.219450,1.462997,-0.000000,0.000000
0.020000,0.020506,0.000000,0.021506,0.248709,1.462997,0.000000,0.000000
0.020000,0.025773,0.000000,0.026773,0.277969,1.462997,0.000000,0.000000
0.020000,0.031625,0.000000,0.032625,0.307229,1.462997,0.000000,0.000000
0.020000,0.038062,0.000000,0.039062,0.336489,1.462997,-0.000000,0.000000
0.020000,0.045084,0.000000,0.046084,0.365749,1.462997,0.000000,0.000000
0.020000,0.052692,0.000000,0.053692,0.395009,1.462997,0.000000,0.000000
0.020000,0.060885,0.000000,0.061885,0.424269,1.462997,-0.000000,0.000000
0.020000,0.069663,0.000000,0.070663,0.453529,1.462997,0.000000,0.000000
0.020000,0.079026,0.000000,0.080026,0.482789,1.462997,0.000000,0.000000
0.020000,0.088974,0.000000,0.089974,0.512049,1.462997,0.000000,0.000000
0.020000,0.099508,0.000000,0.100508,0.541309,1.462997,0.000000,0.000000
0.020000,0.110627,0.000000,0.111627,0.570569,1.462997,0.000000,0.000000
0.020000,0.122331,0.000000,0.123331,0.599829,1.462997,-0.000000,0.000000
0.020000,0.134620,0.000000,0.135620,0.629089,1.462997,0.000000,0.000000
0.020000,0.147494,0.000000,0.148494,0.658349,1.462997,0.000000,0.000000
