dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.362201,2.555491,0.000067,0.006667,0.333333,16.666667,0.000001
0.020000,1.362201,2.555491,0.000067,0.000003,-0.333161,-33.324712,0.000001
0.020000,1.362201,2.555491,0.000067,0.000008,0.000215,16.668809,0.000000
0.020000,1.362868,2.555491,0.000734,0.033347,1.666982,83.338350,6.283185
0.020000,1.364268,2.555491,0.002133,0.069982,1.831728,8.237301,6.283183
0.020000,1.366067,2.555491,0.003933,0.089977,0.999745,-41.599150,6.283182
0.020000,1.368267,2.555491,0.006132,0.109972,0.999747,0.000110,6.283180
0.020000,1.370866,2.555491,0.008732,0.129967,0.999750,0.000135,6.283178
0.020000,1.373865,2.555491,0.011731,0.149962,0.999753,0.000159,6.283175
0.020000,1.377264,2.555491,0.015130,0.169957,0.999757,0.000184,6.283172
0.020000,1.381063,2.555491,0.018929,0.189952,0.999761,0.000208,6.283169
0.020000,1.385262,2.555491,0.023128,0.209948,0.999766,0.000232,6.283165
0.020000,1.389861,2.555491,0.027727,0.229943,0.999771,0.000257,6.283161
0.020000,1.394860,2.555491,0.032726,0.249939,0.999777,0.000281,6.283157
0.020000,1.400259,2.555491,0.038124,0.269934,0.999783,0.000306,6.283152
0.020000,1.406057,2.555491,0.043923,0.289930,0.999789,0.000330,6.283147
0.020000,1.412256,2.555490,0.050122,0.309926,0.999796,0.000355,6.283142
0.020000,1.418854,2.555490,0.056720,0.329922,0.999804,0.000379,6.283136
0.020000,1.425853,2.555490,0.063718,0.349918,0.999812,0.000404,6.283131
0.020000,1.433251,2.555489,0.071117,0.369915,0.999821,0.000428,6.283125
0.020000,1.441049,2.555489,0.078915,0.389911,0.999830,0.000453,6.283118
0.020000,1.449247,2.555488,0.087113,0.409908,0.999839,0.000477,6.283112
0.020000,1.457845,2.555487,0.095711,0.429905,0.999849,0.000502,6.283105
0.020000,1.466843,2.555487,0.104709,0.449902,0.999860,0.000526,6.283099
0.020000,1.476241,2.555486,0.114107,0.469900,0.999871,0.000551,6.283092
0.020000,1.486039,2.555485,0.123905,0.489897,0.999882,0.000575,6.283084
0.020000,1.496237,2.555484,0.134103,0.509895,0.999894,0.000600,6.283077
0.020000,1.506835,2.555483,0.144701,0.529893,0.999907,0.000624,6.283070
0.020000,1.517833,2.555481,0.155699,0.549892,0.999920,0.000648,6.283062
0.020000,1.529231,2.555480,0.167097,0.569890,0.999933,0.000673,6.283054
0.020000,1.541029,2.555478,0.178894,0.589889,0.999947,0.000697,6.283047
0.020000,1.553226,2.555477,0.191092,0.609889,0.999962,0.000722,6.283039
0.020000,1.565824,2.555475,0.203690,0.629888,0.999977,0.000746,6.283031
0.020000,1.578822,2.555473,0.216688,0.649888,0.999992,0.000771,6.283023
0.020000,1.592220,2.555470,0.230085,0.669888,1.000008,0.000795,6.283015
0.020000,1.606017,2.555468,0.243883,0.689889,1.000024,0.000820,6.283007
0.020000,1.620215,2.555465,0.258081,0.709889,1.000041,0.000844,6.283000
0.020000,1.634813,2.555463,0.272679,0.729891,1.000059,0.000869,6.282992
0.020000,1.649811,2.555460,0.287677,0.749892,1.000076,0.000893,6.282984
0.020000,1.665209,2.555457,0.303074,0.769894,1.000095,0.000918,6.282977
0.020000,1.681007,2.555453,0.318872,0.789896,1.000114,0.000942,6.282970
0.020000,1.697205,2.555450,0.335070,0.809899,1.000133,0.000967,6.282963
0.020000,1.713803,2.555446,0.351668,0.829902,1.000153,0.000991,6.282956
