dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000282,0.285750,0.000067,0.006667,0.333333,16.666667,6.282197
0.020000,0.000270,0.285750,0.000079,0.000624,-0.302144,-31.773853,6.282241
0.020000,0.000242,0.285750,0.000107,0.001404,0.038997,17.057036,6.282339
0.020000,0.000195,0.285750,0.000154,0.002340,0.046822,0.391239,6.282503
0.020000,0.000129,0.285750,0.000220,0.003278,0.046868,0.002304,6.282732
0.020000,0.000045,0.285750,0.000304,0.004216,0.046932,0.003228,6.283027
0.020000,0.001180,0.285750,0.001439,0.056733,2.625860,128.946404,0.000203
0.020000,0.003658,0.285751,0.003917,0.123909,3.358779,36.645946,0.000630
0.020000,0.006517,0.285754,0.006775,0.142932,0.951149,-120.381503,0.001124
0.020000,0.009757,0.285758,0.010016,0.162014,0.954082,0.146632,0.001684
0.020000,0.013378,0.285765,0.013636,0.181040,0.951298,-0.139223,0.002311
0.020000,0.017379,0.285776,0.017637,0.200047,0.950395,-0.045101,0.003005
0.020000,0.021761,0.285791,0.022020,0.219135,0.954394,0.199939,0.003768
0.020000,0.026524,0.285811,0.026783,0.238142,0.950346,-0.202404,0.004598
0.020000,0.031667,0.285837,0.031926,0.257152,0.950500,0.007673,0.005497
0.020000,0.037190,0.285870,0.037449,0.276161,0.950430,-0.003488,0.006466
0.020000,0.043093,0.285911,0.043352,0.295164,0.950135,-0.014723,0.007504
0.020000,0.049376,0.285962,0.049636,0.314156,0.949615,-0.026029,0.008613
0.020000,0.056039,0.286023,0.056298,0.333133,0.948867,-0.037402,0.009793
0.020000,0.063080,0.286096,0.063340,0.352091,0.947890,-0.048840,0.011045
0.020000,0.070501,0.286183,0.070762,0.371088,0.949827,0.096851,0.012370
0.020000,0.078301,0.286285,0.078562,0.390033,0.947278,-0.127449,0.013768
0.020000,0.086479,0.286404,0.086741,0.408928,0.944721,-0.127856,0.015241
0.020000,0.095036,0.286541,0.095299,0.427919,0.949553,0.241613,0.016789
0.020000,0.103970,0.286698,0.104235,0.446771,0.942600,-0.347679,0.018413
0.020000,0.113283,0.286878,0.113549,0.465709,0.946938,0.216899,0.020114
0.020000,0.122972,0.287081,0.123241,0.484578,0.943440,-0.174886,0.021894
0.020000,0.133038,0.287311,0.133309,0.503425,0.942340,-0.055000,0.023753
0.020000,0.143480,0.287569,0.143754,0.522268,0.942155,-0.009231,0.025693
0.020000,0.154299,0.287858,0.154577,0.541110,0.942080,-0.003761,0.027715
0.020000,0.165492,0.288180,0.165775,0.559925,0.940791,-0.064426,0.029820
0.020000,0.177061,0.288538,0.177349,0.578714,0.939444,-0.067384,0.032010
0.020000,0.189005,0.288934,0.189299,0.597501,0.939347,-0.004820,0.034285
0.020000,0.201322,0.289371,0.201624,0.616249,0.937373,-0.098740,0.036649
0.020000,0.214012,0.289852,0.214324,0.634961,0.935624,-0.087408,0.039101
0.020000,0.227074,0.290379,0.227396,0.653634,0.933623,-0.100064,0.041644
0.020000,0.240509,0.290957,0.240844,0.672377,0.937185,0.178094,0.044280
0.020000,0.254314,0.291587,0.254663,0.690972,0.929733,-0.372606,0.047009
0.020000,0.268491,0.292274,0.268856,0.709648,0.933823,0.204507,0.049835
0.020000,0.283035,0.293021,0.283420,0.728206,0.927863,-0.298012,0.052760
0.020000,0.297949,0.293831,0.298356,0.746786,0.929025,0.058124,0.055784
0.020000,0.313231,0.294709,0.313663,0.765345,0.927958,-0.053366,0.058910
0.020000,0.328879,0.295657,0.329340,0.783842,0.924821,-0.156847,0.062141
0.020000,0.344893,0.296680,0.345386,0.802313,0.923548,-0.063638,0.065479
0.020000,0.361271,0.297782,0.361801,0.820752,0.921960,-0.079399,0.068926
0.020000,0.378012,0.298968,0.378584,0.839153,0.920053,-0.095363,0.072484
0.020000,0.395115,0.300241,0.395734,0.857510,0.917823,-0.111514,0.076157
0.020000,0.412579,0.301607,0.413252,0.875861,0.917563,-0.012992,0.079947
0.020000,0.430402,0.303070,0.431135,0.894157,0.914800,-0.138157,0.083856
0.020000,0.448582,0.304635,0.449382,0.912360,0.910181,-0.230930,0.087888
0.020000,0.467057,0.306301,0.467932,0.927492,0.756558,-7.681176,0.092032
0.020000,0.485698,0.308061,0.486656,0.936209,0.435866,-16.034605,0.096262
0.020000,0.504382,0.309906,0.505431,0.938746,0.126867,-15.449909,0.100550
0.020000,0.523044,0.311830,0.524192,0.938067,-0.033947,-8.040728,0.104885
0.020000,0.541685,0.313833,0.542940,0.937406,-0.033047,0.045023,0.109265
0.020000,0.560304,0.315917,0.561676,0.936763,-0.032150,0.044829,0.113692
0.020000,0.578900,0.318083,0.580397,0.936054,-0.035450,-0.164984,0.118166
0.020000,0.597472,0.320330,0.599105,0.935398,-0.032826,0.131213,0.122688
0.020000,0.616020,0.322660,0.617799,0.934706,-0.034576,-0.087543,0.127259
0.020000,0.634543,0.325074,0.636478,0.933980,-0.036306,-0.086497,0.131878
0.020000,0.653041,0.327571,0.655144,0.933297,-0.034155,0.107583,0.136548
0.020000,0.671514,0.330154,0.673796,0.932585,-0.035607,-0.072614,0.141267
0.020000,0.689958,0.332822,0.692433,0.931840,-0.037246,-0.081931,0.146037
0.020000,0.708376,0.335576,0.711055,0.931101,-0.036958,0.014365,0.150858
0.020000,0.726765,0.338417,0.729663,0.930395,-0.035299,0.082957,0.155731
0.020000,0.745126,0.341346,0.748255,0.929630,-0.038259,-0.147974,0.160656
0.020000,0.763456,0.344363,0.766833,0.928859,-0.038544,-0.014268,0.165635
0.020000,0.781756,0.347470,0.785394,0.928082,-0.038837,-0.014673,0.170667
0.020000,0.800026,0.350666,0.803941,0.927344,-0.036907,0.096535,0.175753
0.020000,0.818263,0.353953,0.822472,0.926553,-0.039551,-0.132207,0.180895
0.020000,0.836467,0.357331,0.840987,0.925754,-0.039952,-0.020065,0.186091
0.020000,0.854638,0.360802,0.859486,0.924948,-0.040271,-0.015930,0.191344
0.020000,0.872774,0.364365,0.877969,0.924137,-0.040595,-0.016207,0.196653
0.020000,0.890874,0.368021,0.896435,0.923319,-0.040873,-0.013910,0.202019
0.020000,0.908939,0.371772,0.914886,0.922519,-0.039999,0.043728,0.207442
0.020000,0.926967,0.375618,0.933319,0.921684,-0.041768,-0.088459,0.212924
0.020000,0.944958,0.379560,0.951736,0.920842,-0.042104,-0.016819,0.218465
0.020000,0.962909,0.383598,0.970136,0.919993,-0.042442,-0.016917,0.224065
0.020000,0.980820,0.387733,0.988519,0.919137,-0.042782,-0.016974,0.229724
0.020000,0.998691,0.391966,1.006884,0.918275,-0.043122,-0.016987,0.235444
0.020000,1.016521,0.396297,1.025232,0.917406,-0.043461,-0.016954,0.241225
0.020000,1.034308,0.400728,1.043563,0.916530,-0.043798,-0.016873,0.247067
0.020000,1.052051,0.405259,1.061876,0.915647,-0.044133,-0.016741,0.252971
0.020000,1.069751,0.409891,1.080171,0.914758,-0.044464,-0.016556,0.258937
0.020000,1.087404,0.414624,1.098448,0.913862,-0.044790,-0.016315,0.264966
0.020000,1.105012,0.419459,1.116707,0.912960,-0.045111,-0.016017,0.271058
0.020000,1.122572,0.424397,1.134949,0.912051,-0.045424,-0.015658,0.277213
0.020000,1.140083,0.429439,1.153171,0.911137,-0.045729,-0.015236,0.283433
0.020000,1.157545,0.434584,1.171376,0.910216,-0.046024,-0.014750,0.289717
0.020000,1.174956,0.439835,1.189561,0.909290,-0.046308,-0.014196,0.296065
0.020000,1.192316,0.445191,1.207729,0.908358,-0.046579,-0.013573,0.302479
0.020000,1.209623,0.450653,1.225877,0.907422,-0.046837,-0.012878,0.308958
0.020000,1.226876,0.456222,1.244007,0.906495,-0.046348,0.024410,0.315502
