dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000067,0.006667,0.333333,16.666667,6.282197
0.020000,0.000000,0.000000,0.000333,0.020000,0.666667,16.666667,6.282241
0.020000,0.000000,0.000000,0.000933,0.040000,1.000000,16.666667,6.282339
0.020000,0.000000,0.000000,0.001933,0.060000,1.000000,-0.000000,6.282503
0.020000,0.000000,0.000000,0.003333,0.080000,1.000000,0.000000,6.282732
0.020000,0.000000,0.000000,0.005133,0.100000,1.000000,-0.000000,6.283027
0.020000,0.001238,0.000000,0.007333,0.120000,1.000000,0.000000,0.000203
0.020000,0.003838,0.000001,0.009933,0.140000,1.000000,-0.000000,0.000630
0.020000,0.006838,0.000004,0.012933,0.160000,1.000000,0.000000,0.001124
0.020000,0.010238,0.000009,0.016333,0.180000,1.000000,0.000000,0.001684
0.020000,0.014038,0.000016,0.020133,0.200000,1.000000,-0.000000,0.002311
0.020000,0.018237,0.000027,0.024333,0.220000,1.000000,0.000000,0.003005
0.020000,0.022838,0.000043,0.028933,0.240000,1.000000,-0.000000,0.003768
0.020000,0.027838,0.000064,0.033933,0.260000,1.000000,0.000000,0.004598
0.020000,0.033238,0.000091,0.039333,0.280000,1.000000,-0.000000,0.005497
0.020000,0.039038,0.000126,0.045133,0.300000,1.000000,0.000000,0.006466
0.020000,0.045238,0.000169,0.051333,0.320000,1.000000,0.000000,0.007504
0.020000,0.051837,0.000222,0.057933,0.340000,1.000000,0.000000,0.008613
0.020000,0.058837,0.000287,0.064933,0.360000,1.000000,0.000000,0.009793
0.020000,0.066236,0.000364,0.072333,0.380000,1.000000,-0.000000,0.011045
0.020000,0.074036,0.000455,0.080133,0.400000,1.000000,0.000000,0.012370
0.020000,0.082235,0.000562,0.088333,0.420000,1.000000,0.000000,0.013768
0.020000,0.090834,0.000687,0.096933,0.440000,1.000000,0.000000,0.015241
0.020000,0.099833,0.000831,0.105933,0.460000,1.000000,-0.000000,0.016789
0.020000,0.109231,0.000997,0.115333,0.480000,1.000000,0.000000,0.018413
0.020000,0.119030,0.001185,0.125133,0.500000,1.000000,0.000000,0.020114
0.020000,0.129228,0.001400,0.135333,0.520000,1.000000,0.000000,0.021894
0.020000,0.139825,0.001641,0.145933,0.540000,1.000000,0.000000,0.023753
0.020000,0.150821,0.001913,0.156933,0.560000,1.000000,-0.000000,0.025693
