dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000281,-0.285750,0.000067,0.006667,0.333333,16.666667,6.282203
0.020000,-0.000262,-0.285750,0.000086,0.000951,-0.285799,-30.956603,6.282269
0.020000,-0.000219,-0.285750,0.000128,0.002140,0.059441,17.262008,6.282419
0.020000,-0.000148,-0.285750,0.000200,0.003567,0.071389,0.597363,6.282669
0.020000,-0.000048,-0.285750,0.000300,0.004997,0.071496,0.005354,6.283019
0.020000,0.001215,-0.285750,0.001562,0.063119,2.906095,141.729977,0.000284
0.020000,0.003572,-0.285749,0.003919,0.117864,2.737263,-8.441598,0.000834
0.020000,0.006359,-0.285745,0.006706,0.139331,1.073336,-83.196389,0.001487
0.020000,0.009574,-0.285739,0.009921,0.160768,1.071851,-0.074210,0.002241
0.020000,0.013219,-0.285730,0.013566,0.182231,1.073146,0.064725,0.003098
0.020000,0.017293,-0.285715,0.017640,0.203715,1.074183,0.051851,0.004058
0.020000,0.021797,-0.285694,0.022145,0.225214,1.074961,0.038930,0.005122
0.020000,0.026732,-0.285666,0.027079,0.246724,1.075481,0.025973,0.006292
0.020000,0.032096,-0.285629,0.032444,0.268238,1.075741,0.012993,0.007568
0.020000,0.037891,-0.285581,0.038239,0.289753,1.075741,-0.000001,0.008952
0.020000,0.044117,-0.285521,0.044466,0.311334,1.079056,0.165766,0.010444
0.020000,0.050775,-0.285446,0.051123,0.332882,1.077398,-0.082926,0.012047
0.020000,0.057864,-0.285354,0.058213,0.354509,1.081352,0.197732,0.013761
0.020000,0.065386,-0.285244,0.065736,0.376110,1.080026,-0.066330,0.015589
0.020000,0.073340,-0.285112,0.073691,0.397750,1.082014,0.099417,0.017531
0.020000,0.081727,-0.284957,0.082079,0.419425,1.083740,0.086322,0.019591
0.020000,0.090547,-0.284774,0.090902,0.441129,1.085204,0.073161,0.021769
0.020000,0.099802,-0.284562,0.100159,0.462857,1.086403,0.059951,0.024069
0.020000,0.109491,-0.284317,0.109851,0.484604,1.087337,0.046709,0.026491
0.020000,0.119615,-0.284036,0.119979,0.506412,1.090390,0.152640,0.029040
0.020000,0.130175,-0.283715,0.130544,0.528241,1.091480,0.054509,0.031716
0.020000,0.141172,-0.283351,0.141546,0.550114,1.093662,0.109116,0.034524
0.020000,0.152604,-0.282939,0.152986,0.572006,1.094572,0.045482,0.037465
0.020000,0.164474,-0.282476,0.164866,0.593961,1.097775,0.160170,0.040542
0.020000,0.176783,-0.281957,0.177185,0.615972,1.100517,0.137088,0.043760
0.020000,0.189530,-0.281377,0.189945,0.638012,1.102003,0.074315,0.047120
0.020000,0.202717,-0.280732,0.203148,0.660123,1.105579,0.178781,0.050627
0.020000,0.216343,-0.280017,0.216793,0.682264,1.107018,0.071934,0.054285
0.020000,0.230410,-0.279226,0.230882,0.704438,1.108697,0.083962,0.058096
0.020000,0.244918,-0.278353,0.245417,0.726743,1.115288,0.329564,0.062067
0.020000,0.259868,-0.277393,0.260397,0.749034,1.114527,-0.038029,0.066199
0.020000,0.275261,-0.276339,0.275826,0.771422,1.119414,0.244328,0.070499
0.020000,0.291097,-0.275185,0.291704,0.793896,1.123711,0.214824,0.074971
0.020000,0.307376,-0.273925,0.308032,0.816414,1.125865,0.107748,0.079619
0.020000,0.324100,-0.272550,0.324812,0.839013,1.129952,0.204335,0.084450
0.020000,0.341269,-0.271053,0.342047,0.861716,1.135180,0.261383,0.089468
0.020000,0.358883,-0.269427,0.359736,0.884460,1.137193,0.100644,0.094680
0.020000,0.376944,-0.267662,0.377882,0.907312,1.142575,0.269113,0.100092
0.020000,0.395450,-0.265751,0.396487,0.930241,1.146450,0.193729,0.105709
0.020000,0.414404,-0.263685,0.415553,0.953301,1.153038,0.329408,0.111538
0.020000,0.433804,-0.261452,0.435081,0.976426,1.156252,0.160701,0.117587
0.020000,0.453652,-0.259045,0.455075,0.999661,1.161743,0.274556,0.123863
0.020000,0.473947,-0.256451,0.475535,1.023000,1.166949,0.260311,0.130373
0.020000,0.494690,-0.253660,0.496464,1.046487,1.174312,0.368124,0.137126
0.020000,0.515880,-0.250661,0.517865,1.070058,1.178566,0.212719,0.144129
0.020000,0.537444,-0.247451,0.539667,1.090083,1.001237,-8.866464,0.151367
0.020000,0.559235,-0.244045,0.561723,1.102814,0.636556,-18.234051,0.158798
0.020000,0.581109,-0.240457,0.583889,1.108282,0.273392,-18.158177,0.166376
0.020000,0.602989,-0.236696,0.606090,1.110059,0.088861,-9.226545,0.174079
0.020000,0.624875,-0.232759,0.628327,1.111862,0.090167,0.065297,0.181909
0.020000,0.646765,-0.228643,0.650601,1.113698,0.091797,0.081505,0.189867
0.020000,0.668659,-0.224343,0.672913,1.115566,0.093382,0.079248,0.197957
0.020000,0.690553,-0.219858,0.695262,1.117469,0.095148,0.088311,0.206179
